iter	Logloss
0	0.6093600696
1	0.5619004504
2	0.5375598284
3	0.5191364376
4	0.5048355042
5	0.4963956218
6	0.4910399344
7	0.4859969454
8	0.4809952471
9	0.4767701517
10	0.4731915102
11	0.4696121166
12	0.4669741719
13	0.4642161634
14	0.4622412907
15	0.4603144031
16	0.4579747477
17	0.4562383815
18	0.4548480408
19	0.4538347897
20	0.4519104203
21	0.4503032524
22	0.4492932581
23	0.4483198313
24	0.4471571089
25	0.4459112433
26	0.4452343739
27	0.4439527687
28	0.4431831869
29	0.4423697561
30	0.441169087
31	0.4405170915
32	0.4398650972
33	0.4389701056
34	0.4382270586
35	0.4374549071
36	0.4367053729
37	0.435851472
38	0.4350109508
39	0.4343126079
40	0.4339000958
41	0.4333905531
42	0.4329517497
43	0.4321154219
44	0.4314559821
45	0.4307497411
46	0.4301323557
47	0.4292859677
48	0.4287059442
49	0.4281809126
50	0.4276309157
51	0.4267302409
52	0.4260437366
53	0.4253934127
54	0.4249026395
55	0.4243281826
56	0.4235622071
57	0.422744426
58	0.4222458919
59	0.4215722892
60	0.4208190706
61	0.4202860722
62	0.4197752247
63	0.4191461001
64	0.4185735984
65	0.4178783433
66	0.417369839
67	0.4169913154
68	0.4164236527
69	0.4158926218
70	0.41527534
71	0.4147533564
72	0.4142537083
73	0.4137504674
74	0.4132049102
75	0.4125978614
76	0.4120287196
77	0.4116101173
78	0.4110963803
79	0.4106087886
80	0.4100425917
81	0.4097392435
82	0.4090759243
83	0.4086973187
84	0.4083495286
85	0.4078271624
86	0.4073296646
87	0.4068837052
88	0.4065170095
89	0.4059839835
90	0.4054684001
91	0.4049088139
92	0.4044358398
93	0.4041255874
94	0.4036479674
95	0.4032672966
96	0.4028567798
97	0.4023969223
98	0.4020374575
99	0.4017444013
100	0.4013172419
101	0.400972857
102	0.4005679031
103	0.4000342706
104	0.3996982163
105	0.3994204207
106	0.3989190275
107	0.3985061385
108	0.3981900594
109	0.3978427713
110	0.3975298365
111	0.3972509132
112	0.3969318193
113	0.3966609243
114	0.3963164555
115	0.3959155823
116	0.395412014
117	0.3949910712
118	0.3946092718
119	0.3942509192
120	0.3940729561
121	0.3936253212
122	0.3932657752
123	0.3930074298
124	0.3927075151
125	0.3921522316
126	0.3918192368
127	0.3914005033
128	0.3909586805
129	0.3906599283
130	0.3901932048
131	0.3898316695
132	0.3894294533
133	0.3890676242
134	0.3886680882
135	0.3883382251
136	0.3879902307
137	0.3874332828
138	0.3870991509
139	0.3868736916
140	0.3865622991
141	0.3862150478
142	0.3858357817
143	0.3855712258
144	0.385228127
145	0.3848750083
146	0.3845217063
147	0.3841823214
148	0.3838860997
149	0.3836775366
150	0.3834193138
151	0.3830560197
152	0.3827238903
153	0.3822966462
154	0.3820809595
155	0.3819555293
156	0.3817070433
157	0.3813882357
158	0.3811088695
159	0.3808765329
160	0.3805364509
161	0.380086801
162	0.3798635122
163	0.3797420211
164	0.3793783048
165	0.3789780949
166	0.3786925716
167	0.3784408334
168	0.3781763066
169	0.3777617244
170	0.3774744181
171	0.3772622812
172	0.3769318721
173	0.3766511583
174	0.3762106282
175	0.3758508621
176	0.3755026896
177	0.3751204947
178	0.3748486456
179	0.3746209542
180	0.3744740445
181	0.3741834784
182	0.3739005657
183	0.3736222474
184	0.3733650828
185	0.3731702611
186	0.3729725826
187	0.3727024719
188	0.3724793259
189	0.3724736647
190	0.3723037669
191	0.3719881831
192	0.3716829443
193	0.3713499691
194	0.3710653338
195	0.3708683586
196	0.3705363732
197	0.3703515559
198	0.370018468
199	0.3697286409
200	0.3694462285
201	0.369236563
202	0.368900528
203	0.3684971596
204	0.3682998068
205	0.368072316
206	0.3678040621
207	0.3674817821
208	0.36719431
209	0.3669737058
210	0.3667166576
211	0.3665211251
212	0.3662965551
213	0.3661315348
214	0.3659150591
215	0.3655962436
216	0.365339842
217	0.3650154826
218	0.3647810736
219	0.3644654843
220	0.3641316397
221	0.3638039429
222	0.3634882491
223	0.363166511
224	0.3629432754
225	0.362709831
226	0.3623573506
227	0.362074497
228	0.3618133196
229	0.3615339793
230	0.3612630039
231	0.3610208084
232	0.3607470775
233	0.3605310608
234	0.3602775463
235	0.3600495482
236	0.3597009642
237	0.3593949226
238	0.3591209595
239	0.3588899887
240	0.3586240356
241	0.3584333674
242	0.3581386721
243	0.3579977548
244	0.3576809889
245	0.3574455536
246	0.3572070029
247	0.3568928857
248	0.3566410566
249	0.3563984644
250	0.356131673
251	0.3559312765
252	0.3556715472
253	0.3553638802
254	0.3551558238
255	0.3549015179
256	0.3546535567
257	0.3543671311
258	0.3540442157
259	0.3538467543
260	0.3535194589
261	0.353358355
262	0.3531427675
263	0.3529667722
264	0.3527672459
265	0.3525506994
266	0.3522948154
267	0.3519199183
268	0.3516542855
269	0.3514614975
270	0.3514595663
271	0.3512932277
272	0.3510370883
273	0.3507048707
274	0.3505417577
275	0.3502567816
276	0.3499337602
277	0.3497363125
278	0.3494539996
279	0.3491558684
280	0.3489469545
281	0.34871684
282	0.3485133339
283	0.3482882978
284	0.3479992475
285	0.3477212109
286	0.3474786927
287	0.3472673518
288	0.3470474254
289	0.3468639664
290	0.3466306617
291	0.3464451978
292	0.3464448489
293	0.346221323
294	0.3459555477
295	0.3458974769
296	0.3456749921
297	0.3454090286
298	0.3451813722
299	0.3449768955
